biome * ffffff ffffff ffffff
biome 0 ffffff 92af5c 659245
biome 1 ffffff 93aa54 679043
biome 2 ffffff dbc986 b9ab57
biome 3 ffffff 83a751 729a5c
biome 4 ffffff 80a851 56853d
biome 5 ffffff 92b45e 59873c
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 92af5c 659245
biome 8 ffffff dbc986 b9ab57
biome 9 ffffff 92af5c 659245
biome 10 ffffff 95bf59 59873c
biome 11 ffffff 95bf59 59873c
biome 12 ffffff 95bf59 59873c
biome 13 ffffff 95bf59 59873c
biome 14 ffffff 5a8841 517b37
biome 15 ffffff 5a8841 517b37
biome 16 ffffff 93aa54 679043
biome 17 ffffff dbc986 b9ab57
biome 18 ffffff 80a851 56853d
biome 19 ffffff 92b45e 59873c
biome 20 ffffff 83a751 729a5c
biome 21 ffffff 71a246 59873c
biome 22 ffffff 71a246 59873c
biome 23 ffffff 6a9342 59873c
biome 24 ffffff 92af5c 659245
biome 25 ffffff 83a751 729a5c
biome 26 ffffff 8eb656 59873c
biome 27 ffffff 88a452 59873c
biome 28 ffffff 88a452 59873c
biome 29 ffffff 3e511b 56853d
biome 30 ffffff 95bf59 59873c
biome 31 ffffff 95bf59 59873c
biome 32 ffffff 92ad59 59873c
biome 33 ffffff 92ad59 59873c
biome 34 ffffff 83a751 729a5c
biome 35 ffffff dbc986 b9ab57
biome 36 ffffff dbc986 b9ab57
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 95bf59 59873c
biome 41 ffffff aa8a4e b5a353
biome 42 ffffff a3e053 a3e053
biome 43 ffd932 8baf6b b0e088
biome 44 ffffff d8935f dae579
biome 45 ffffff 9fb771 c9ce65
biome 46 ffffff c9c17f b2c67f
biome 47 ffffff a9ba64 a9ba64
biome 48 ffffff c0d85d 679043
biome 49 ffffff a3ffaa a3ffaa
biome 50 ffffff 92af5c 659245
biome 51 ffffff 95bf59 59873c
biome 52 0e6a35 dbc986 b9ab57
biome 53 ffffff bca165 bca165
biome 54 a2ad51 66704c 66704c
biome 55 ffffff ad8e41 afa248
biome 56 ffffff bac481 ceb979
biome 57 ffffff 70c441 70c441
biome 58 ffffff abd6bc abd6bc
biome 59 00ff2e f0f970 a9fb6a
biome 60 ffffff 74d374 66e266
biome 61 ffffff 7fdb7d 7fdb7d
biome 62 ffffff 609e58 75b569
biome 63 ffffff cec577 aec681
biome 64 ffffff 92af5c 659245
biome 65 ffffff 7ca568 8acc6a
biome 66 ffffff a1c36d a1c36d
biome 67 ffffff 9ea952 59873c
biome 68 ffffff 89a94d 59873c
biome 69 ffffff 8eaf5d 59873c
biome 70 ffffff 87a653 59873c
biome 71 ffffff 63b26d 63b26d
biome 72 588276 619365 619365
biome 73 ffffff 9aa353 59873c
biome 74 ff107a 69cfdb 70e099
biome 75 1e1b26 3f4151 3f4151
biome 76 ffffff a2ff5f 3aff00
biome 77 ffffff d6c276 59873c
biome 78 ffffff c8e580 ade07b
biome 79 ffffff 1ad86c 14e26f
biome 80 ffffff 93aa54 679043
biome 81 ffffff 00995b 00995b
biome 82 ffffff bec44c b3c442
biome 83 ffffff 647f38 789643
biome 84 ffffff b1a958 59873c
biome 85 af9200 746429 919134
biome 86 ffffff b28f6b b28f6b
biome 87 ffffff b6d367 bbdd63
biome 88 ffffff a89a77 a5a16d
biome 89 5dff00 c3e041 a5e041
biome 90 ffffff ad8456 bf664e
biome 91 e5ff00 9da078 999e55
biome 92 636084 5a935f 4f9657
biome 93 ffffff afa158 59873c
biome 94 ffffff 87a653 59873c
biome 95 ffffff 87a653 59873c
biome 96 ffffff 74a449 59873c
biome 97 ffffff d6c276 59873c
biome 98 ffffff 768f45 546e10
biome 99 ffffff 95bf59 59873c
biome 100 ffffff a9ba64 a9ba64
biome 101 ffffff 95bf59 59873c
biome 102 ffffff 63b26d 63b26d
biome 103 ffffff 6a9848 59873c
biome 104 ffffff d5ff6d d5ff6d
biome 105 cc5100 9e8b69 9e8b69
biome 106 ffffff d6c276 59873c
biome 107 ffff77 ccc9ad d7dbb6
biome 108 ffffff 80a851 56853d
biome 109 ffffff dbc986 b9ab57
biome 110 ffffff dbc986 b9ab57
